,n_grid,n_particles,runtime
0,1000,100,15.887593507766724
1,1000,200,14.394341945648193
2,1000,500,17.16880512237549
3,1000,1000,21.711904764175415
4,1000,2000,28.870325088500977
5,1000,5000,49.720073223114014
6,1000,10000,86.43773770332336
7,1000,20000,210.88420701026917
8,1000,50000,659.0978991985321
